Plaza ID,Date,Hour,Direction,# Vehicles - E-ZPass,# Vehicles - VToll
5,2017-04-29,0,I,216,25
5,2017-04-29,0,O,100,23
5,2017-04-29,1,I,111,21
5,2017-04-29,1,O,53,18
5,2017-04-29,2,I,72,16
5,2017-04-29,2,O,32,14
5,2017-04-29,3,I,40,15
5,2017-04-29,3,O,26,16
5,2017-04-29,4,I,45,12
5,2017-04-29,4,O,43,9
5,2017-04-29,5,I,60,15
5,2017-04-29,5,O,126,13
5,2017-04-29,6,I,155,21
5,2017-04-29,6,O,257,20
5,2017-04-29,7,I,221,34
5,2017-04-29,7,O,428,36
5,2017-04-29,8,I,323,51
5,2017-04-29,8,O,514,29
5,2017-04-29,9,I,326,56
5,2017-04-29,9,O,556,41
5,2017-04-29,10,I,495,67
5,2017-04-29,10,O,585,56
5,2017-04-29,11,I,531,68
5,2017-04-29,11,O,584,61
5,2017-04-29,12,I,584,70
5,2017-04-29,12,O,601,53
5,2017-04-29,13,I,740,90
5,2017-04-29,13,O,569,61
5,2017-04-29,14,I,758,93
5,2017-04-29,14,O,579,82
5,2017-04-29,15,I,720,95
5,2017-04-29,15,O,603,74
5,2017-04-29,16,I,662,83
5,2017-04-29,16,O,551,81
5,2017-04-29,17,I,574,86
5,2017-04-29,17,O,570,82
5,2017-04-29,18,I,555,70
5,2017-04-29,18,O,465,88
5,2017-04-29,19,I,514,77
5,2017-04-29,19,O,430,66
5,2017-04-29,20,I,399,59
5,2017-04-29,20,O,317,56
5,2017-04-29,21,I,356,50
5,2017-04-29,21,O,314,49
5,2017-04-29,22,I,384,45
5,2017-04-29,22,O,258,39
5,2017-04-29,23,I,315,41
5,2017-04-29,23,O,170,33
5,2017-04-28,0,I,125,5
5,2017-04-28,0,O,42,9
5,2017-04-28,1,I,53,3
5,2017-04-28,1,O,29,4
5,2017-04-28,2,I,50,5
5,2017-04-28,2,O,20,8
5,2017-04-28,3,I,26,3
5,2017-04-28,3,O,27,7
5,2017-04-28,4,I,26,7
5,2017-04-28,4,O,72,3
5,2017-04-28,5,I,135,14
5,2017-04-28,5,O,338,20
5,2017-04-28,6,I,394,29
5,2017-04-28,6,O,940,27
5,2017-04-28,7,I,450,49
5,2017-04-28,7,O,1609,73
5,2017-04-28,8,I,441,57
5,2017-04-28,8,O,964,50
5,2017-04-28,9,I,459,43
5,2017-04-28,9,O,684,43
5,2017-04-28,10,I,385,53
5,2017-04-28,10,O,559,36
5,2017-04-28,11,I,430,50
5,2017-04-28,11,O,599,69
5,2017-04-28,12,I,468,47
5,2017-04-28,12,O,736,100
5,2017-04-28,13,I,544,53
5,2017-04-28,13,O,623,72
5,2017-04-28,14,I,891,77
5,2017-04-28,14,O,633,79
5,2017-04-28,15,I,1200,83
5,2017-04-28,15,O,730,63
5,2017-04-28,16,I,1171,98
5,2017-04-28,16,O,649,81
5,2017-04-28,17,I,1134,88
5,2017-04-28,17,O,604,64
5,2017-04-28,18,I,1035,73
5,2017-04-28,18,O,483,61
5,2017-04-28,19,I,745,62
5,2017-04-28,19,O,433,65
5,2017-04-28,20,I,535,59
5,2017-04-28,20,O,326,40
5,2017-04-28,21,I,436,42
5,2017-04-28,21,O,239,35
5,2017-04-28,22,I,310,31
5,2017-04-28,22,O,218,39
5,2017-04-28,23,I,274,29
5,2017-04-28,23,O,183,29
5,2017-04-27,0,I,107,13
5,2017-04-27,0,O,33,12
5,2017-04-27,1,I,43,5
5,2017-04-27,1,O,28,5
5,2017-04-27,2,I,28,4
5,2017-04-27,2,O,21,7
5,2017-04-27,3,I,20,3
5,2017-04-27,3,O,26,2
5,2017-04-27,4,I,23,5
5,2017-04-27,4,O,72,6
5,2017-04-27,5,I,139,16
